Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
-0.16,-1269,-0.81,757,-1009,1.4893,2143,Up
2143,-0.16,-1269,-0.81,757,1.4046,1.95,Up
1.95,2143,-0.16,-1269,-0.81,1.2508,-0.71,Down
-0.71,1.95,2143,-0.16,-1269,1.0756,-0.95,Down
-0.95,-0.71,1.95,2143,-0.16,1.1941,1322,Up
1322,-0.95,-0.71,1.95,2143,1.3982,-1838,Down
-1838,1322,-0.95,-0.71,1.95,1.2292,719,Up
719,-1838,1322,-0.95,-0.71,1.4837,-1314,Down
-1314,719,-1838,1322,-0.95,1.3744,1176,Up
1176,-1314,719,-1838,1322,1.2878,462,Up
462,1176,-1314,719,-1838,1.3733,-754,Down
-754,462,1176,-1314,719,1.2089,-1536,Down
-1536,-754,462,1176,-1314,1.2566,956,Up
956,-1536,-754,462,1176,1.3327,-934,Down
-934,956,-1536,-754,462,1.2992,826,Up
826,-934,956,-1536,-754,1.3685,-2583,Down
-2583,826,-934,956,-1536,1255,-836,Down
-836,-2583,826,-934,956,1.4277,432,Up
432,-836,-2583,826,-934,1.62,3446,Up
3446,432,-836,-2583,826,1.8163,165,Up
165,3446,432,-836,-2583,1.5419,3543,Up
3543,165,3446,432,-836,1.70042,424,Up
424,3543,165,3446,432,1.5551,874,Up
874,424,3543,165,3446,1.4734,189,Up
189,874,424,3543,165,1.4391,2298,Up
2298,189,874,424,3543,1.88371,-3523,Down
-3523,2298,189,874,424,1293,1216,Up
1216,-3523,2298,189,874,1.3334,-548,Down
-548,1216,-3523,2298,189,1.3197,-164,Down
-164,-548,1216,-3523,2298,1.2329,-578,Down
-578,-164,-548,1216,-3523,1227,-1774,Down
-1774,-578,-164,-548,1216,1.4955,1214,Up
1214,-1774,-578,-164,-548,1.4616,2612,Up
2612,1214,-1774,-578,-164,1.5898,-505,Down
-505,2612,1214,-1774,-578,1.3395,274,Up
274,-505,2612,1214,-1774,1.2412,123,Up
123,274,-505,2612,1214,1494,-186,Down
-186,123,274,-505,2612,1.2354,-1.4,Down
-1.4,-186,123,274,-505,1.2937,646,Up
646,-1.4,-186,123,274,1.2753,-376,Down
-376,646,-1.4,-186,123,1.1416,1.95,Up
1.95,-376,646,-1.4,-186,1131,0.63,Up
0.63,1.95,-376,646,-1.4,1.4602,-1224,Down
-1224,0.63,1.95,-376,646,1.5876,1554,Up
1554,-1224,0.63,1.95,-376,1.4306,-176,Down
-176,1554,-1224,0.63,1.95,1.1187,2.17,Up
2.17,-176,1554,-1224,0.63,1.6312,839,Up
839,2.17,-176,1554,-1224,1.6672,-826,Down
-826,839,2.17,-176,1554,1.6481,-1385,Down
-1385,-826,839,2.17,-176,1.3358,1783,Up
1783,-1385,-826,839,2.17,1273,328,Up
328,1783,-1385,-826,839,1.5256,-0.1,Down
-0.1,328,1783,-1385,-826,1.78851,-68,Down
-68,-0.1,328,1783,-1385,1.3975,1504,Up
1504,-68,-0.1,328,1783,1.5543,-0.38,Down
-0.38,1504,-68,-0.1,328,1.4463,846,Up
846,-0.38,1504,-68,-0.1,1.6496,-0.51,Down
-0.51,846,-0.38,1504,-68,1.5319,-1006,Down
-1006,-0.51,846,-0.38,1504,1.3796,1428,Up
1428,-1006,-0.51,846,-0.38,1.3261,1253,Up
1253,1428,-1006,-0.51,846,1.3788,-297,Down
-297,1253,1428,-1006,-0.51,1.4181,-0.32,Down
-0.32,-297,1253,1428,-1006,1.4018,787,Up
787,-0.32,-297,1253,1428,1.5087,-0.25,Down
-0.25,787,-0.32,-297,1253,1.5055,-2492,Down
-2492,-0.25,787,-0.32,-297,1.3757,-113,Down
-113,-2492,-0.25,787,-0.32,1.5053,401,Up
401,-113,-2492,-0.25,787,1.4578,915,Up
915,401,-113,-2492,-0.25,1.4485,145,Up
145,915,401,-113,-2492,1201,1957,Up
1957,145,915,401,-113,1532,183,Up
183,1957,145,915,401,1559,-376,Down
-376,183,1957,145,915,1.6858,1469,Up
1469,-376,183,1957,145,1.6888,354,Up
354,1469,-376,183,1957,1.6625,472,Up
472,354,1469,-376,183,1.4502,1511,Up
1511,472,354,1469,-376,1.6187,395,Up
395,1511,472,354,1469,1.6931,-0.24,Down
-0.24,395,1511,472,354,1.8372,-1198,Down
-1198,-0.24,395,1511,472,1307,913,Up
913,-1198,-0.24,395,1511,1.2754,1283,Up
1283,913,-1198,-0.24,395,1.52,103,Up
103,1283,913,-1198,-0.24,1.5531,-991,Down
-991,103,1283,913,-1198,1.2716,2238,Up
2238,-991,103,1283,913,1.3459,91,Up
91,2238,-991,103,1283,1.4797,-155,Down
-155,91,2238,-991,103,1.4889,-1524,Down
-1524,-155,91,2238,-991,1.5301,0.1,Up
0.1,-1524,-155,91,2238,1698,-1411,Down
-1411,0.1,-1524,-155,91,1.3981,184,Up
184,-1411,0.1,-1524,-155,1.3883,-827,Down
-827,184,-1411,0.1,-1524,1.4592,1077,Up
1077,-827,184,-1411,0.1,1.3874,-974,Down
-974,1077,-827,184,-1411,1.2678,-176,Down
-176,-974,1077,-827,184,1.5872,802,Up
802,-176,-974,1077,-827,1.4602,1164,Up
1164,802,-176,-974,1077,1.5193,-0.81,Down
-0.81,1164,802,-176,-974,0.7759,1899,Up
1899,-0.81,1164,802,-176,1.4291,0.34,Up
0.34,1899,-0.81,1164,802,1.5657,-559,Down
-559,0.34,1899,-0.81,1164,1618,-1348,Down
-1348,-559,0.34,1899,-0.81,1.4657,955,Up
955,-1348,-559,0.34,1899,1.2127,573,Up
573,955,-1348,-559,0.34,1.4489,-343,Down
-343,573,955,-1348,-559,1.5186,-633,Down
-633,-343,573,955,-1348,1662,-1243,Down
-1243,-633,-343,573,955,1.6614,1181,Up
1181,-1243,-633,-343,573,1.3652,-1462,Down
-1462,1181,-1243,-633,-343,1.2542,951,Up
951,-1462,1181,-1243,-633,1.4397,51,Up
51,951,-1462,1181,-1243,1.3627,-709,Down
-709,51,951,-1462,1181,1559,1.74,Up
1.74,-709,51,951,-1462,1.3975,-216,Down
-216,1.74,-709,51,951,1.3286,-727,Down
-727,-216,1.74,-709,51,1.5089,-181,Down
-181,-727,-216,1.74,-709,1.3919,286,Up
286,-181,-727,-216,1.74,1608,-1026,Down
-1026,286,-181,-727,-216,1.3906,272,Up
272,-1026,286,-181,-727,1.3187,-1766,Down
-1766,272,-1026,286,-181,1.3517,168,Up
168,-1766,272,-1026,286,1491,728,Up
728,168,-1766,272,-1026,1.3893,356,Up
356,728,168,-1766,272,1.0866,307,Up
307,356,728,168,-1766,1.0222,995,Up
995,307,356,728,168,1.1323,-638,Down
-638,995,307,356,728,1.2088,659,Up
659,-638,995,307,356,1.1868,16,Up
16,659,-638,995,307,0.63637,916,Up
916,16,659,-638,995,1.1276,261,Up
261,916,16,659,-638,1.3006,-205,Down
-205,261,916,16,659,1.2108,297,Up
297,-205,261,916,16,1.4071,-1018,Down
-1018,297,-205,261,916,1.3089,65,Up
65,-1018,297,-205,261,0.9717,304,Up
304,65,-1018,297,-205,1.1787,6,Up
6,304,65,-1018,297,1.0514,607,Up
607,6,304,65,-1018,1.1652,516,Up
516,607,6,304,65,0.9451,1387,Up
1387,516,607,6,304,1.4705,419,Up
419,1387,516,607,6,1.6756,166,Up
166,419,1387,516,607,1.4539,-0.64,Down
-0.64,166,419,1387,516,1.4652,1004,Up
1004,-0.64,166,419,1387,1.2993,-821,Down
-821,1004,-0.64,166,419,1.4148,-1197,Down
-1197,-821,1004,-0.64,166,1.5821,544,Up
544,-1197,-821,1004,-0.64,1.3359,217,Up
217,544,-1197,-821,1004,1.2367,-375,Down
-375,217,544,-1197,-821,1.1513,1.43,Up
1.43,-375,217,544,-1197,1.4032,-325,Down
-325,1.43,-375,217,544,1.33821,1327,Up
1327,-325,1.43,-375,217,1.4988,-316,Down
-316,1327,-325,1.43,-375,1.5186,-1301,Down
-1301,-316,1327,-325,1.43,1.2788,607,Up
607,-1301,-316,1327,-325,1.3017,-1.91,Down
-1.91,607,-1301,-316,1327,1556,-605,Down
-605,-1.91,607,-1301,-316,1.53,-0.64,Down
-0.64,-605,-1.91,607,-1301,1.4725,976,Up
976,-0.64,-605,-1.91,607,1.3665,-1054,Down
-1054,976,-0.64,-605,-1.91,1.5905,2234,Up
2234,-1054,976,-0.64,-605,1.5663,198,Up
198,2234,-1054,976,-0.64,1.2693,942,Up
942,198,2234,-1054,976,1.5705,437,Up
437,942,198,2234,-1054,1.0258,474,Up
474,437,942,198,2234,1.2795,-526,Down
-526,474,437,942,198,1.2625,479,Up
479,-526,474,437,942,1.5787,-65,Down
-65,479,-526,474,437,1.1081,702,Up
702,-65,479,-526,474,1.0405,395,Up
395,702,-65,479,-526,1.2719,-259,Down
-259,395,702,-65,479,1.5211,316,Up
316,-259,395,702,-65,1.4177,-1024,Down
-1024,316,-259,395,702,1352,516,Up
516,-1024,316,-259,395,1.1726,129,Up
129,516,-1024,316,-259,1498,-1498,Down
-1498,129,516,-1024,316,1.6472,331,Up
331,-1498,129,516,-1024,1.6043,-0.47,Down
-0.47,331,-1498,129,516,1.4203,216,Up
216,-0.47,331,-1498,129,1.3718,1519,Up
1519,216,-0.47,331,-1498,1.6292,126,Up
126,1519,216,-0.47,331,1.5626,-112,Down
-112,126,1519,216,-0.47,1.6297,0.36,Up
0.36,-112,126,1519,216,1.4989,791,Up
791,0.36,-112,126,1519,1.3782,-545,Down
-545,791,0.36,-112,126,1.4176,-137,Down
-137,-545,791,0.36,-112,1.4018,593,Up
593,-137,-545,791,0.36,1.4539,-457,Down
-457,593,-137,-545,791,1.4405,-579,Down
-579,-457,593,-137,-545,1.2436,-52,Down
-52,-579,-457,593,-137,1.1625,1143,Up
1143,-52,-579,-457,593,1.3493,-11,Down
-11,1143,-52,-579,-457,1383,-762,Down
-762,-11,1143,-52,-579,1.3561,-0.64,Down
-0.64,-762,-11,1143,-52,1.3743,-908,Down
-908,-0.64,-762,-11,1143,1.3543,802,Up
802,-908,-0.64,-762,-11,1.3262,-843,Down
-843,802,-908,-0.64,-762,1.3267,158,Up
158,-843,802,-908,-0.64,1.2738,1623,Up
1623,158,-843,802,-908,1.3028,172,Up
172,1623,158,-843,802,1.3337,433,Up
433,172,1623,158,-843,1.0977,-24,Down
-24,433,172,1623,158,0.48722,1126,Up
1126,-24,433,172,1623,1375,-327,Down
-327,1126,-24,433,172,1.3832,-177,Down
-177,-327,1126,-24,433,1.4417,469,Up
469,-177,-327,1126,-24,1.4631,-768,Down
-768,469,-177,-327,1126,1.2659,735,Up
735,-768,469,-177,-327,1.2189,-853,Down
-853,735,-768,469,-177,1.4655,-107,Down
-107,-853,735,-768,469,1444,1148,Up
1148,-107,-853,735,-768,1.4411,274,Up
274,1148,-107,-853,735,1.2231,-568,Down
-568,274,1148,-107,-853,1.5208,664,Up
664,-568,274,1148,-107,1.5479,126,Up
126,664,-568,274,1148,1.4417,1.18,Up
1.18,126,664,-568,274,1.5799,-48,Down
-48,1.18,126,664,-568,1.6573,393,Up
393,-48,1.18,126,664,1.2517,282,Up
282,393,-48,1.18,126,1.1453,-181,Down
-181,282,393,-48,1.18,0.51806,169,Up
169,-181,282,393,-48,0.35607,1.24,Up
1.24,169,-181,282,393,1.0588,14,Up
14,1.24,169,-181,282,1.0126,205,Up
205,14,1.24,169,-181,1.0275,-309,Down
-309,205,14,1.24,169,1.1532,1.24,Up
1.24,-309,205,14,1.24,1.5782,129,Up
129,1.24,-309,205,14,1.4945,237,Up
237,129,1.24,-309,205,1.7049,496,Up
496,237,129,1.24,-309,1.8684,-889,Down
-889,496,237,129,1.24,1.7207,479,Up
479,-889,496,237,129,1.5102,-533,Down
-533,479,-889,496,237,1.5959,829,Up
829,-533,479,-889,496,1.5146,135,Up
135,829,-533,479,-889,1695,687,Up
687,135,829,-533,479,1.7211,-93,Down
-93,687,135,829,-533,1.6982,777,Up
777,-93,687,135,829,1.7576,-321,Down
-321,777,-93,687,135,1.6937,-209,Down
-209,-321,777,-93,687,1.5612,1211,Up
1211,-209,-321,777,-93,1.4806,-0.98,Down
-0.98,1211,-209,-321,777,1.6731,-1361,Down
-1361,-0.98,1211,-209,-321,1842,499,Up
499,-1361,-0.98,1211,-209,1.9219,-263,Down
-263,499,-1361,-0.98,1211,1635,365,Up
365,-263,499,-1361,-0.98,1.5992,68,Up
68,365,-263,499,-1361,1.4769,-837,Down
-837,68,365,-263,499,1.6348,184,Up
184,-837,68,365,-263,1.5666,1256,Up
1256,184,-837,68,365,1.4776,-258,Down
-258,1256,184,-837,68,1.3035,503,Up
503,-258,1256,184,-837,1.4039,1067,Up
1067,503,-258,1256,184,1.6993,-488,Down
-488,1067,503,-258,1256,1.4643,-547,Down
-547,-488,1067,503,-258,1.3292,976,Up
976,-547,-488,1067,503,1.3965,-447,Down
-447,976,-547,-488,1067,1.3824,-413,Down
-413,-447,976,-547,-488,1.5628,-257,Down
-257,-413,-447,976,-547,1.4796,-273,Down
-273,-257,-413,-447,976,1.3804,-167,Down
-167,-273,-257,-413,-447,1.5436,402,Up
402,-167,-273,-257,-413,1.3607,108,Up
108,402,-167,-273,-257,1.3839,3,Up
3,108,402,-167,-273,1.5404,963,Up
963,3,108,402,-167,1.4971,-594,Down
-594,963,3,108,402,1476,168,Up
168,-594,963,3,108,1.3345,334,Up
334,168,-594,963,3,1.2658,172,Up
172,334,168,-594,963,1.3982,-835,Down
-835,172,334,168,-594,1.2544,-577,Down
-577,-835,172,334,168,1.4994,-1463,Down
-1463,-577,-835,172,334,1.6484,-1522,Down
-1522,-1463,-577,-835,172,1.8899,1246,Up
1246,-1522,-1463,-577,-835,1.3885,-1435,Down
-1435,1246,-1522,-1463,-577,1.6006,562,Up
562,-1435,1246,-1522,-1463,1.5007,1175,Up
1175,562,-1435,1246,-1522,1.4901,-127,Down
-127,1175,562,-1435,1246,1.3692,-1117,Down
-1117,-127,1175,562,-1435,1.4574,-1296,Down
-1296,-1117,-127,1175,562,1.4523,-132,Down
-132,-1296,-1117,-127,1175,1.4582,-239,Down
-239,-132,-1296,-1117,-127,1.5278,1637,Up
1637,-239,-132,-1296,-1117,1.4717,-102,Down
-102,1637,-239,-132,-1296,1.3191,1.3,Up
1.3,-102,1637,-239,-132,1.4055,404,Up
404,1.3,-102,1637,-239,1.3324,-0.07,Down
-0.07,404,1.3,-102,1637,1.5607,529,Up
529,-0.07,404,1.3,-102,1.5607,851,Up
851,529,-0.07,404,1.3,1.6292,767,Up
767,851,529,-0.07,404,1.4137,-209,Down
-209,767,851,529,-0.07,1.3977,-665,Down
-665,-209,767,851,529,1.4588,-106,Down
-106,-665,-209,767,851,1.1998,516,Up
516,-106,-665,-209,767,1.1024,-1376,Down
-1376,516,-106,-665,-209,1.4232,-112,Down
-112,-1376,516,-106,-665,1.5477,59,Up
59,-112,-1376,516,-106,1.5687,511,Up
511,59,-112,-1376,516,1.4878,107,Up
107,511,59,-112,-1376,1.1949,-1556,Down
-1556,107,511,59,-112,1.5085,531,Up
531,-1556,107,511,59,1.7381,1409,Up
1409,531,-1556,107,511,1.8267,59,Up
59,1409,531,-1556,107,1.3961,-445,Down
-445,59,1409,531,-1556,1.2906,227,Up
227,-445,59,1409,531,1518,-1379,Down
-1379,227,-445,59,1409,1.8556,-759,Down
-759,-1379,227,-445,59,1859,-592,Down
-592,-759,-1379,227,-445,1.6347,0.92,Up
0.92,-592,-759,-1379,227,1.5716,184,Up
184,0.92,-592,-759,-1379,1.6621,177,Up
177,184,0.92,-592,-759,1469,-672,Down
-672,177,184,0.92,-592,1.5093,-1373,Down
-1373,-672,177,184,0.92,1.6536,-1054,Down
-1054,-1373,-672,177,184,1.9184,766,Up
766,-1054,-1373,-672,177,1.5338,167,Up
167,766,-1054,-1373,-672,1.6976,-77,Down
-77,167,766,-1054,-1373,1.4111,-67,Down
-67,-77,167,766,-1054,1.3359,-1059,Down
-1059,-67,-77,167,766,1.4301,682,Up
682,-1059,-67,-77,167,1353,-257,Down
-257,682,-1059,-67,-77,1.5486,47,Up
47,-257,682,-1059,-67,1211,401,Up
401,47,-257,682,-1059,1.2586,169,Up
169,401,47,-257,682,1.2275,1.61,Up
1.61,169,401,47,-257,1.5457,0.17,Up
0.17,1.61,169,401,47,1.3694,569,Up
569,0.17,1.61,169,401,1.4475,-54,Down
-54,569,0.17,1.61,169,1.1726,46,Up
46,-54,569,0.17,1.61,1238,338,Up
338,46,-54,569,0.17,1.2517,-742,Down
-742,338,46,-54,569,1.2324,525,Up
525,-742,338,46,-54,1.1153,1596,Up
1596,525,-742,338,46,1.2118,154,Up
154,1596,525,-742,338,1.1903,-0.95,Down
-0.95,154,1596,525,-742,1.2768,454,Up
454,-0.95,154,1596,525,1.1606,-984,Down
-984,454,-0.95,154,1596,1.1794,597,Up
597,-984,454,-0.95,154,1.3459,137,Up
137,597,-984,454,-0.95,1.1684,-133,Down
-133,137,597,-984,454,1.2967,262,Up
262,-133,137,597,-984,1.5006,-416,Down
-416,262,-133,137,597,1.1239,364,Up
364,-416,262,-133,137,1.3823,851,Up
851,364,-416,262,-133,1.4442,-298,Down
-298,851,364,-416,262,1.3949,-545,Down
-545,-298,851,364,-416,1.8129,-95,Down
-95,-545,-298,851,364,1.3546,251,Up
251,-95,-545,-298,851,1375,408,Up
408,251,-95,-545,-298,1.4738,-1043,Down
-1043,408,251,-95,-545,1.4957,-315,Down
-315,-1043,408,251,-95,1085,-815,Down
-815,-315,-1043,408,251,1.2833,0.19,Up
0.19,-815,-315,-1043,408,1.3286,-824,Down
-824,0.19,-815,-315,-1043,1.4011,334,Up
334,-824,0.19,-815,-315,1.1863,138,Up
138,334,-824,0.19,-815,1.1146,71,Up
71,138,334,-824,0.19,1.1997,-329,Down
-329,71,138,334,-824,1462,-0.43,Down
-0.43,-329,71,138,334,1.4087,-479,Down
-479,-0.43,-329,71,138,1.4503,-44,Down
-44,-479,-0.43,-329,71,1.3199,706,Up
706,-44,-479,-0.43,-329,1.4458,-1334,Down
-1334,706,-44,-479,-0.43,1.6795,271,Up
271,-1334,706,-44,-479,1.6808,-0.97,Down
-0.97,271,-1334,706,-44,1.3375,-196,Down
-196,-0.97,271,-1334,706,1.4134,993,Up
993,-196,-0.97,271,-1334,1.6108,54,Up
54,993,-196,-0.97,271,1.5543,457,Up
457,54,993,-196,-0.97,1.5301,117,Up
117,457,54,993,-196,1.2982,445,Up
445,117,457,54,993,1276,-626,Down
-626,445,117,457,54,1.3383,-96,Down
-96,-626,445,117,457,1.3692,-1632,Down
-1632,-96,-626,445,117,1.3974,-1548,Down
-1548,-1632,-96,-626,445,1521,117,Up
117,-1548,-1632,-96,-626,1086,1297,Up
1297,117,-1548,-1632,-96,1.2456,-301,Down
-301,1297,117,-1548,-1632,1.4104,-1168,Down
-1168,-301,1297,117,-1548,1.4051,148,Up
148,-1168,-301,1297,117,1.1751,1366,Up
1366,148,-1168,-301,1297,1.2062,0.22,Up
0.22,1366,148,-1168,-301,1.2678,1244,Up
1244,0.22,1366,148,-1168,1.2825,-0.36,Down
-0.36,1244,0.22,1366,148,1.2494,652,Up
652,-0.36,1244,0.22,1366,1.1999,-243,Down
-243,652,-0.36,1244,0.22,1.0219,47,Up
47,-243,652,-0.36,1244,1.0925,0.8,Up
0.8,47,-243,652,-0.36,1.1922,12,Up
12,0.8,47,-243,652,1.0236,243,Up
243,12,0.8,47,-243,0.8454,-778,Down
-778,243,12,0.8,47,0.8431,463,Up
463,-778,243,12,0.8,1.1382,151,Up
151,463,-778,243,12,1.1421,1121,Up
1121,151,463,-778,243,1.1184,-418,Down
-418,1121,151,463,-778,0.92417,689,Up
689,-418,1121,151,463,1.2144,-449,Down
-449,689,-418,1121,151,1.2463,189,Up
189,-449,689,-418,1121,1.3713,495,Up
495,189,-449,689,-418,1.2612,169,Up
169,495,189,-449,689,1.2998,223,Up
223,169,495,189,-449,1.2045,-705,Down
-705,223,169,495,189,1256,279,Up
279,-705,223,169,495,1.1139,449,Up
449,279,-705,223,169,1.4226,-563,Down
-563,449,279,-705,223,1.1976,633,Up
633,-563,449,279,-705,1325,-1394,Down
-1394,633,-563,449,279,1.3799,-467,Down
-467,-1394,633,-563,449,1.2863,158,Up
158,-467,-1394,633,-563,1.2554,-594,Down
-594,158,-467,-1394,633,1.2635,593,Up
593,-594,158,-467,-1394,1.3966,427,Up
427,593,-594,158,-467,1.4029,-0.02,Down
-0.02,427,593,-594,158,1748,1518,Up
1518,-0.02,427,593,-594,1.5822,324,Up
324,1518,-0.02,427,593,1534,-61,Down
-61,324,1518,-0.02,427,1.4184,667,Up
667,-61,324,1518,-0.02,1.4167,-998,Down
-998,667,-61,324,1518,1.4475,-753,Down
-753,-998,667,-61,324,1.2916,201,Up
201,-753,-998,667,-61,0.9438,-227,Down
-227,201,-753,-998,667,1.3201,-0.73,Down
-0.73,-227,201,-753,-998,1.5462,-0.93,Down
-0.93,-0.73,-227,201,-753,1.4895,445,Up
445,-0.93,-0.73,-227,201,1.6451,525,Up
525,445,-0.93,-0.73,-227,1.3733,-969,Down
-969,525,445,-0.93,-0.73,1.7375,39,Up
39,-969,525,445,-0.93,1.6857,256,Up
256,39,-969,525,445,1673,-972,Down
-972,256,39,-969,525,1.4696,-86,Down
-86,-972,256,39,-969,1.3805,1488,Up
1488,-86,-972,256,39,1.6854,1288,Up
1288,1488,-86,-972,256,1.7419,181,Up
181,1288,1488,-86,-972,1.6282,245,Up
245,181,1288,1488,-86,1.5008,27,Up
27,245,181,1288,1488,1.3959,4,Up
4,27,245,181,1288,1659,1118,Up
1118,4,27,245,181,1.7675,1616,Up
1616,1118,4,27,245,1.7827,387,Up
387,1616,1118,4,27,1.7244,-0.11,Down
-0.11,387,1616,1118,4,1.3587,-0.07,Down
-0.07,-0.11,387,1616,1118,1.4508,-101,Down
-101,-0.07,-0.11,387,1616,1.5043,909,Up
909,-101,-0.07,-0.11,387,1393,911,Up
911,909,-101,-0.07,-0.11,1.5316,-0.03,Down
-0.03,911,909,-101,-0.07,1.4533,-708,Down
-708,-0.03,911,909,-101,1.3644,554,Up
554,-708,-0.03,911,909,1.6842,136,Up
136,554,-708,-0.03,911,1.4567,-1116,Down
-1116,136,554,-708,-0.03,1.5266,0.59,Up
0.59,-1116,136,554,-708,1.3927,-25,Down
-25,0.59,-1116,136,554,1.4283,0.41,Up
0.41,-25,0.59,-1116,136,1.1496,75,Up
75,0.41,-25,0.59,-1116,0.50458,-345,Down
-345,75,0.41,-25,0.59,1.3785,-403,Down
-403,-345,75,0.41,-25,1.5535,1495,Up
1495,-403,-345,75,0.41,1.7728,-87,Down
-87,1495,-403,-345,75,1.7749,71,Up
71,-87,1495,-403,-345,1.5667,-77,Down
-77,71,-87,1495,-403,1.3544,-1107,Down
-1107,-77,71,-87,1495,1.5339,488,Up
488,-1107,-77,71,-87,1.5252,544,Up
544,488,-1107,-77,71,1.6247,-104,Down
-104,544,488,-1107,-77,1.4437,899,Up
899,-104,544,488,-1107,1.4361,392,Up
392,899,-104,544,488,1.5444,194,Up
194,392,899,-104,544,1.6958,-208,Down
-208,194,392,899,-104,1.7939,-749,Down
-749,-208,194,392,899,2335,38,Up
38,-749,-208,194,392,1.4228,904,Up
904,38,-749,-208,194,1.4837,342,Up
342,904,38,-749,-208,1.3908,46,Up
46,342,904,38,-749,0.9561,-431,Down
-431,46,342,904,38,922,715,Up
715,-431,46,342,904,983,-7,Down
-7,715,-431,46,342,0.9259,8,Up
8,-7,715,-431,46,0.8298,-134,Down
-134,8,-7,715,-431,0.7869,-812,Down
-812,-134,8,-7,715,1.5108,-1167,Down
-1167,-812,-134,8,-7,1721,-363,Down
-363,-1167,-812,-134,8,1.7389,351,Up
351,-363,-1167,-812,-134,1.5691,-143,Down
-143,351,-363,-1167,-812,1.4779,342,Up
342,-143,351,-363,-1167,1.4904,-0.61,Down
-0.61,342,-143,351,-363,1.4888,398,Up
398,-0.61,342,-143,351,1.5621,-863,Down
-863,398,-0.61,342,-143,1.5103,0.6,Up
0.6,-863,398,-0.61,342,1.3354,967,Up
967,0.6,-863,398,-0.61,1.5968,-949,Down
-949,967,0.6,-863,398,1.4987,-778,Down
-778,-949,967,0.6,-863,1692,-641,Down
-641,-778,-949,967,0.6,1.6435,-353,Down
-353,-641,-778,-949,967,1.4946,0.4,Up
0.4,-353,-641,-778,-949,1.6104,484,Up
484,0.4,-353,-641,-778,1.6359,41,Up
41,484,0.4,-353,-641,1.6006,-272,Down
-272,41,484,0.4,-353,1.6418,846,Up
846,-272,41,484,0.4,1.6798,689,Up
689,846,-272,41,484,1.68198,318,Up
318,689,846,-272,41,1.56174,-277,Down
-277,318,689,846,-272,1.55446,1104,Up
1104,-277,318,689,846,1.64816,-109,Down
-109,1104,-277,318,689,1.34727,48,Up
48,-109,1104,-277,318,1.41617,-858,Down
-858,48,-109,1104,-277,1.51104,421,Up
421,-858,48,-109,1104,1.49167,693,Up
693,421,-858,48,-109,1.5623,0.07,Up
0.07,693,421,-858,48,1.29018,0.33,Up
0.33,0.07,693,421,-858,1.52708,18,Up
18,0.33,0.07,693,421,1.4901,-792,Down
-792,18,0.33,0.07,693,1.58012,0.07,Up
0.07,-792,18,0.33,0.07,1.5512,-1451,Down
-1451,0.07,-792,18,0.33,1.74494,561,Up
561,-1451,0.07,-792,18,1.50109,789,Up
789,561,-1451,0.07,-792,1.51875,931,Up
931,789,561,-1451,0.07,1.52368,-641,Down
-641,931,789,561,-1451,1.79548,566,Up
566,-641,931,789,561,1.70806,-27,Down
-27,566,-641,931,789,1.56854,32,Up
32,-27,566,-641,931,1.61624,962,Up
962,32,-27,566,-641,1.63682,261,Up
261,962,32,-27,566,1.48883,-0.48,Down
-0.48,261,962,32,-27,1.52309,-1019,Down
-1019,-0.48,261,962,32,1.70497,186,Up
186,-1019,-0.48,261,962,1.60402,-758,Down
-758,186,-1019,-0.48,261,1.44982,562,Up
562,-758,186,-1019,-0.48,1.43743,-752,Down
-752,562,-758,186,-1019,1.51353,-808,Down
-808,-752,562,-758,186,1.65319,0.18,Up
0.18,-808,-752,562,-758,1.58193,-47,Down
-47,0.18,-808,-752,562,2.34437,-493,Down
-493,-47,0.18,-808,-752,1.81944,-1.02,Down
-1.02,-493,-47,0.18,-808,2.11447,0.07,Up
0.07,-1.02,-493,-47,0.18,2.24687,-95,Down
-95,0.07,-1.02,-493,-47,1.72172,244,Up
244,-95,0.07,-1.02,-493,1.74622,-0.76,Down
-0.76,244,-95,0.07,-1.02,2.22325,1377,Up
1377,-0.76,244,-95,0.07,2.09711,-69,Down
-69,1377,-0.76,244,-95,2.21423,-0.65,Down
-0.65,-69,1377,-0.76,244,2.16869,273,Up
273,-0.65,-69,1377,-0.76,2.07977,448,Up
448,273,-0.65,-69,1377,1.8708,227,Up
227,448,273,-0.65,-69,1.7974,597,Up
597,227,448,273,-0.65,1.90062,-834,Down
-834,597,227,448,273,1.66133,1,Up
1,-834,597,227,448,1.52531,555,Up
555,1,-834,597,227,1.97983,-1176,Down
-1176,555,1,-834,597,2.04974,-1,Down
-1,-1176,555,1,-834,2.35504,-1672,Down
-1672,-1,-1176,555,1,2.68996,294,Up
294,-1672,-1,-1176,555,2.18067,593,Up
593,294,-1672,-1,-1176,2.1427,-1325,Down
-1325,593,294,-1672,-1,2.21705,1974,Up
1974,-1325,593,294,-1672,2.30856,-675,Down
-675,1974,-1325,593,294,2.04588,866,Up
866,-675,1974,-1325,593,1.79503,-884,Down
-884,866,-675,1974,-1325,1.95974,395,Up
395,-884,866,-675,1974,2.15152,-1138,Down
-1138,395,-884,866,-675,2.18227,1192,Up
1192,-1138,395,-884,866,2.36236,459,Up
459,1192,-1138,395,-884,1.98004,-85,Down
-85,459,1192,-1138,395,2.16702,1247,Up
1247,-85,459,1192,-1138,2.30648,-257,Down
